microstep_code,microstep_label,stage_name,category,cases,mean_duration_min,sd_duration_min,p90_duration_min,cv,top_delay_drivers
lesion_set_delivery,Lesion set delivery,Ablation and verification,Procedural manipulation,180,14.47,2.43,17.58,0.17,"Planned lesion count (112 cases), Persistent AF burden (29 cases), Doctor technique (19 cases)"
patient_transfer_positioning,Patient transfer and positioning,Pre-op and positioning,Waiting / transfer,180,9.16,2.24,12.38,0.24,"Obesity / transfer risk (95 cases), Mobility limitation (35 cases), Doctor technique (17 cases)"
wake_up_extubation,Wake-up and extubation,Close and transfer,Waiting / transfer,180,9.78,1.88,12.55,0.19,"Obesity / airway complexity (112 cases), Doctor technique (20 cases), Higher anesthesia risk (17 cases)"
first_transseptal_crossing,First transseptal crossing,Transseptal puncture,Procedural manipulation,180,8.56,1.88,11.22,0.22,"Thick septum (166 cases), Anatomy complexity (14 cases)"
anesthesia_induction_airway,Anesthesia induction and airway,Pre-op and positioning,Verification / anesthesia,180,10.64,1.75,13.13,0.16,"Obesity / airway complexity (44 cases), Higher anesthesia risk (43 cases), Doctor technique (39 cases)"
transfer_off_table,Transfer off table,Close and transfer,Waiting / transfer,180,5.45,1.65,7.67,0.3,"Obesity / transfer risk (95 cases), Mobility limitation (35 cases), Doctor technique (22 cases)"
second_crossing_sheath_exchange,Second crossing and sheath exchange,Transseptal puncture,Equipment handling,180,6.27,1.64,8.34,0.26,"Thick septum (151 cases), Custom sheath choice (29 cases)"
venous_access_sheath_insertion,Venous access and sheath insertion,Access and sheath setup,Procedural manipulation,180,9.65,1.63,11.79,0.17,"Anatomy complexity (70 cases), Obesity / access difficulty (52 cases), Custom sheath choice (37 cases)"
left_atrial_geometry_build,Left atrial geometry build,Mapping and baseline validation,Mapping,180,7.64,1.4,9.57,0.18,"Anatomy complexity (118 cases), Doctor technique (36 cases), Prior ablation scar (8 cases)"
catheter_reposition_touchup,Catheter repositioning and touch-up lesions,Ablation and verification,Procedural manipulation,180,7.72,1.26,9.2,0.16,"Anatomy complexity (102 cases), Doctor technique (30 cases), Prior ablation scar (23 cases)"
sheath_removal_hemostasis,Sheath removal and hemostasis,Close and transfer,Procedural manipulation,180,6.54,1.19,8.31,0.18,"Obesity / transfer risk (112 cases), Doctor technique (29 cases), Clinic workflow (13 cases)"
catheter_cable_console_setup,Catheter cable and console setup,Access and sheath setup,Equipment handling,180,5.68,1.19,7.35,0.21,"Doctor technique (90 cases), Equipment issue (44 cases)"
baseline_voltage_review,Baseline voltage review,Mapping and baseline validation,Verification,180,4.75,1.04,6.09,0.22,"Persistent AF burden (54 cases), Doctor technique (47 cases), Prior ablation scar (35 cases)"
ice_septal_survey,ICE survey and septal visualization,Transseptal puncture,Verification,180,5.91,1.01,7.17,0.17,"Anatomy complexity (118 cases), Doctor technique (34 cases), Clinic workflow (7 cases)"
sterile_prep_monitor_hookup,"Sterile prep, drape, and monitor hookup",Pre-op and positioning,Equipment handling,180,6.35,0.95,7.72,0.15,"Doctor technique (69 cases), Equipment issue (44 cases), Clinic workflow (21 cases)"
ct_map_registration,CT and map registration,Mapping and baseline validation,Mapping,180,4.26,0.89,5.36,0.21,"Anatomy complexity (118 cases), Doctor technique (41 cases)"
endpoint_verification,Endpoint verification,Ablation and verification,Verification,180,5.08,0.88,6.15,0.17,"Anatomy complexity (91 cases), Doctor technique (36 cases), Prior ablation scar (35 cases)"
ultrasound_groin_scan,Ultrasound groin scan,Access and sheath setup,Verification,180,3.12,0.88,4.12,0.28,"Obesity / access difficulty (110 cases), Doctor technique (39 cases), Anatomy complexity (8 cases)"
tee_safety_check,TEE safety and clot check,Pre-op and positioning,Verification,180,5.42,0.83,6.53,0.15,"Anatomy complexity (102 cases), Doctor technique (28 cases), Prior ablation scar (24 cases)"
left_atrial_confirmation,Left atrial confirmation,Transseptal puncture,Verification,180,3.6,0.78,4.68,0.22,"Anatomy complexity (118 cases), Doctor technique (34 cases), Clinic workflow (7 cases)"
anticoagulation_irrigation_check,Anticoagulation and irrigation check,Access and sheath setup,Verification,180,3.08,0.56,3.84,0.18,"Doctor technique (90 cases), Equipment issue (44 cases)"
